sequenceID	source.name	species	genotype
A40118	ncbi-nuccore-feline	FIV	GlobalFca
AF298778	ncbi-nuccore-feline	FIV	GlobalFca
AF298779	ncbi-nuccore-feline	FIV	GlobalFca
AF361320	ncbi-nuccore-feline	FIV	SA
AF452126	ncbi-nuccore-feline	FIV	SA
AF452127	ncbi-nuccore-feline	FIV	SA
AH004414	ncbi-nuccore-feline	FIV	GlobalFca
AJ304959	ncbi-nuccore-feline	FIV	SA
AJ304960	ncbi-nuccore-feline	FIV	SA
AJ304961	ncbi-nuccore-feline	FIV	SA
AJ304962	ncbi-nuccore-feline	FIV	SA
AJ304988	ncbi-nuccore-feline	FIV	SA
AX968569	ncbi-nuccore-feline	FIV	GlobalFca
AX968570	ncbi-nuccore-feline	FIV	GlobalFca
AY220046	ncbi-nuccore-feline	FIV	GlobalFca
AY220047	ncbi-nuccore-feline	FIV	GlobalFca
AY220049	ncbi-nuccore-feline	FIV	GlobalFca
AY220050	ncbi-nuccore-feline	FIV	GlobalFca
AY220051	ncbi-nuccore-feline	FIV	GlobalFca
AY220052	ncbi-nuccore-feline	FIV	GlobalFca
AY220053	ncbi-nuccore-feline	FIV	GlobalFca
AY220054	ncbi-nuccore-feline	FIV	GlobalFca
AY220055	ncbi-nuccore-feline	FIV	GlobalFca
AY220056	ncbi-nuccore-feline	FIV	GlobalFca
AY220057	ncbi-nuccore-feline	FIV	GlobalFca
AY220058	ncbi-nuccore-feline	FIV	GlobalFca
AY220059	ncbi-nuccore-feline	FIV	GlobalFca
AY220060	ncbi-nuccore-feline	FIV	GlobalFca
AY220061	ncbi-nuccore-feline	FIV	GlobalFca
AY220063	ncbi-nuccore-feline	FIV	SA
AY220064	ncbi-nuccore-feline	FIV	-
AY220065	ncbi-nuccore-feline	FIV	GlobalFca
AY220066	ncbi-nuccore-feline	FIV	SA
AY220068	ncbi-nuccore-feline	FIV	SA
AY220070	ncbi-nuccore-feline	FIV	SA
AY220071	ncbi-nuccore-feline	FIV	SA
AY220072	ncbi-nuccore-feline	FIV	SA
AY220074	ncbi-nuccore-feline	FIV	Canada
AY221627	ncbi-nuccore-feline	FIV	SA
AY221628	ncbi-nuccore-feline	FIV	GlobalFca
AY221629	ncbi-nuccore-feline	FIV	GlobalFca
AY369376	ncbi-nuccore-feline	FIV	GlobalFca
AY369377	ncbi-nuccore-feline	FIV	GlobalFca
AY369378	ncbi-nuccore-feline	FIV	-
AY369379	ncbi-nuccore-feline	FIV	GlobalFca
AY369380	ncbi-nuccore-feline	FIV	SA
AY369381	ncbi-nuccore-feline	FIV	SA
AY369382	ncbi-nuccore-feline	FIV	GlobalFca
AY369383	ncbi-nuccore-feline	FIV	GlobalFca
AY594655	ncbi-nuccore-feline	FIV	-
AY620002	ncbi-nuccore-feline	FIV	SA
AY621093	ncbi-nuccore-feline	FIV	SA
AY621094	ncbi-nuccore-feline	FIV	SA
AY679785	ncbi-nuccore-feline	FIV	SA
AY684181	ncbi-nuccore-feline	FIV	GlobalFca
BD399665	ncbi-nuccore-feline	FIV	GlobalFca
BD399666	ncbi-nuccore-feline	FIV	GlobalFca
D37811	ncbi-nuccore-feline	FIV	SA
D37812	ncbi-nuccore-feline	FIV	SA
D37813	ncbi-nuccore-feline	FIV	GlobalFca
D37814	ncbi-nuccore-feline	FIV	SA
D37815	ncbi-nuccore-feline	FIV	SA
D37816	ncbi-nuccore-feline	FIV	SA
D37817	ncbi-nuccore-feline	FIV	SA
DL141648	ncbi-nuccore-feline	FIV	GlobalFca
DQ308412	ncbi-nuccore-feline	FIV	NA_B
DQ308413	ncbi-nuccore-feline	FIV	NA_B
DQ308414	ncbi-nuccore-feline	FIV	NA_B
DQ308415	ncbi-nuccore-feline	FIV	NA_B
DQ308416	ncbi-nuccore-feline	FIV	NA_B
DQ308417	ncbi-nuccore-feline	FIV	NA_B
DQ308418	ncbi-nuccore-feline	FIV	NA_B
DQ308419	ncbi-nuccore-feline	FIV	NA_B
DQ308420	ncbi-nuccore-feline	FIV	NA_B
DQ308421	ncbi-nuccore-feline	FIV	NA_B
DQ365589	ncbi-nuccore-feline	FIV	SA
DQ365590	ncbi-nuccore-feline	FIV	GlobalFca
DQ365591	ncbi-nuccore-feline	FIV	GlobalFca
DQ365592	ncbi-nuccore-feline	FIV	GlobalFca
DQ365594	ncbi-nuccore-feline	FIV	GlobalFca
DQ365595	ncbi-nuccore-feline	FIV	SA
DQ365596	ncbi-nuccore-feline	FIV	SA
DQ365597	ncbi-nuccore-feline	FIV	SA
EF106722	ncbi-nuccore-feline	FIV	NA_B
EF106723	ncbi-nuccore-feline	FIV	NA_B
EF106724	ncbi-nuccore-feline	FIV	NA_B
EF106725	ncbi-nuccore-feline	FIV	NA_B
EF106726	ncbi-nuccore-feline	FIV	NA_B
EF106727	ncbi-nuccore-feline	FIV	NA_B
EF106728	ncbi-nuccore-feline	FIV	NA_B
EF106729	ncbi-nuccore-feline	FIV	NA_B
EF106730	ncbi-nuccore-feline	FIV	NA_B
EF106731	ncbi-nuccore-feline	FIV	NA_B
EF106732	ncbi-nuccore-feline	FIV	NA_B
EF106733	ncbi-nuccore-feline	FIV	NA_B
EF106734	ncbi-nuccore-feline	FIV	NA_B
EF106735	ncbi-nuccore-feline	FIV	NA_B
EF106736	ncbi-nuccore-feline	FIV	NA_Africa
EF106737	ncbi-nuccore-feline	FIV	-
EF413005	ncbi-nuccore-feline	FIV	SA
EF413006	ncbi-nuccore-feline	FIV	SA
EF413007	ncbi-nuccore-feline	FIV	SA
EF413008	ncbi-nuccore-feline	FIV	SA
EF413009	ncbi-nuccore-feline	FIV	SA
EF413010	ncbi-nuccore-feline	FIV	SA
EF413011	ncbi-nuccore-feline	FIV	SA
EF413012	ncbi-nuccore-feline	FIV	SA
EF413013	ncbi-nuccore-feline	FIV	SA
EF413014	ncbi-nuccore-feline	FIV	SA
EF413015	ncbi-nuccore-feline	FIV	SA
EF413016	ncbi-nuccore-feline	FIV	SA
EF413017	ncbi-nuccore-feline	FIV	SA
EF447303	ncbi-nuccore-feline	FIV	SA
EF447304	ncbi-nuccore-feline	FIV	SA
EU025246	ncbi-nuccore-feline	FIV	GlobalFca
EU130945	ncbi-nuccore-feline	FIV	SA
EU915484	ncbi-nuccore-feline	FIV	-
FJ374695	ncbi-nuccore-feline	FIV	SA
FJ374696	ncbi-nuccore-feline	FIV	SA
FJ374697	ncbi-nuccore-feline	FIV	SA
GN116053	ncbi-nuccore-feline	FIV	GlobalFca
GQ406242	ncbi-nuccore-feline	FIV	SA
GQ406243	ncbi-nuccore-feline	FIV	SA
GQ420651	ncbi-nuccore-feline	FIV	GlobalFca
GQ422125	ncbi-nuccore-feline	FIV	GlobalFca
