sequenceID	source.name	species	full_name	subgenus	genotype	subtype	pubmed_id	length	host_sci_name	host_common_name	collection_year	country	place_sampled
KF906143	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8030	Lynx rufus	-	1996	USA	 Southern California
KF906144	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8024	Lynx rufus	-	2001	USA	 Southern California
KF906145	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8036	Lynx rufus	-	2001	USA	 Southern California
KF906146	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8030	Lynx rufus	-	2002	USA	 Southern California
KF906147	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8027	Lynx rufus	-	2002	USA	 Southern California
KF906148	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8029	Lynx rufus	-	2003	USA	 Southern California
KF906149	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8050	Lynx rufus	-	2005	USA	 Southern California
KF906150	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8041	Lynx rufus	-	2006	USA	 Southern California
KF906151	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8038	Lynx rufus	-	2007	USA	 Southern California
KF906152	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8050	Lynx rufus	-	2006	USA	 Southern California
KF906153	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8029	Lynx rufus	-	2009	USA	 Southern California
KF906154	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8029	Lynx rufus	-	2009	USA	 Southern California
KF906155	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8035	Lynx rufus	-	2009	USA	 Southern California
KF906156	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8016	Lynx rufus	-	1984	USA	 Florida
KF906157	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8025	Lynx rufus	-	2007	USA	 Florida
KF906158	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8019	Lynx rufus	-	2010	USA	 Florida
KF906159	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8019	Lynx rufus	-	2010	USA	 Florida
KF906160	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8019	Lynx rufus	-	2010	USA	 Florida
KF906161	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8019	Lynx rufus	-	2010	USA	 Florida
KF906162	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8016	Lynx rufus	-	2010	USA	 Florida
KF906163	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8036	Puma concolor	-	2004	USA	 Southern California
KF906167	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8038	Puma concolor	-	2004	USA	 Southern California
KF906168	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8044	Puma concolor	-	2003	USA	 Southern California
KF906169	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8044	Puma concolor	-	2007	USA	 Southern California
KF906170	ncbi-refseqs-feline	FIV	Feline immunodeficiency virus	Feline	NA_A	-	24741092	8026	Puma concolor	-	2002	USA	 Southern California
