taxon	sequenceID	combined	pubmed_id	source	name	isolate	country	subtype	genotype	collection_year
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/AF474246	AF474246	AF474246/Canada/Main/Canada/-/BM3070	-	ncbi-refseqs-feline	FIV	BM3070	Canada	Main	Canada	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/AX139034	AX139034	AX139034/South America/-/-/-/-	-	ncbi-refseqs-feline	FIV	-	-	-	South America	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/AY600517	AY600517	AY600517/Canada/-/-/-/FIV-C36	15308694	ncbi-refseqs-feline	FIV	FIV-C36	-	-	Canada	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/AY713445	AY713445	AY713445/Asia/-/-/-/-	-	ncbi-refseqs-feline	FIV	-	-	-	Asia	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/DD029017	DD029017	DD029017/South America/-/-/-/-	-	ncbi-refseqs-feline	FIV	-	-	-	South America	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/DL231479	DL231479	DL231479/-/-/-/-/-	-	ncbi-refseqs-feline	FIV	-	-	-	-	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/DQ192583	DQ192583	DQ192583/B/-/Canada/-/PLV-1695	16501082	ncbi-refseqs-feline	FIV	PLV-1695	Canada	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/E43300	E43300	E43300/South America/-/-/-/-	-	ncbi-refseqs-feline	FIV	-	-	-	South America	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455603	EF455603	EF455603/B/-/-/-/Gc34	17445856	ncbi-refseqs-feline	FIV	Gc34	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455604	EF455604	EF455604/B/-/-/-/Mc350	17445856	ncbi-refseqs-feline	FIV	Mc350	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455605	EF455605	EF455605/B/-/-/-/Mc100	17445856	ncbi-refseqs-feline	FIV	Mc100	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455606	EF455606	EF455606/B/-/-/-/Mc121	17445856	ncbi-refseqs-feline	FIV	Mc121	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455607	EF455607	EF455607/B/-/-/-/YM29	17445856	ncbi-refseqs-feline	FIV	YM29	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455608	EF455608	EF455608/B/-/-/-/YF16	17445856	ncbi-refseqs-feline	FIV	YF16	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455609	EF455609	EF455609/B/-/-/-/JM01	17445856	ncbi-refseqs-feline	FIV	JM01	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455610	EF455610	EF455610/B/-/-/-/JF6	17445856	ncbi-refseqs-feline	FIV	JF6	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455611	EF455611	EF455611/B/-/-/-/YM137	17445856	ncbi-refseqs-feline	FIV	YM137	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455612	EF455612	EF455612/B/-/-/-/YF125	17445856	ncbi-refseqs-feline	FIV	YF125	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455613	EF455613	EF455613/B/NULL/-/-/SR631	17445856	ncbi-refseqs-feline	FIV	SR631	-	NULL	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455614	EF455614	EF455614/B/-/-/-/SR631B	17445856	ncbi-refseqs-feline	FIV	SR631B	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EF455615	EF455615	EF455615/B/-/-/-/CoLV	17445856	ncbi-refseqs-feline	FIV	CoLV	-	-	B	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EU117991	EU117991	EU117991/Africa/-/USA/-/27B	18251995	ncbi-refseqs-feline	FIV	27B	USA	-	Africa	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/EU117992	EU117992	EU117992/Africa/-/Botswana/-/1027	18251995	ncbi-refseqs-feline	FIV	1027	Botswana	-	Africa	-
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906143	KF906143	KF906143/A/-/USA/1996/Lru1	24741092	ncbi-refseqs-feline	FIV	Lru1	USA	-	A	1996
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906144	KF906144	KF906144/A/-/USA/2001/Lru2	24741092	ncbi-refseqs-feline	FIV	Lru2	USA	-	A	2001
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906145	KF906145	KF906145/A/-/USA/2001/Lru3	24741092	ncbi-refseqs-feline	FIV	Lru3	USA	-	A	2001
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906146	KF906146	KF906146/A/-/USA/2002/Lru4	24741092	ncbi-refseqs-feline	FIV	Lru4	USA	-	A	2002
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906147	KF906147	KF906147/A/-/USA/2002/Lru5	24741092	ncbi-refseqs-feline	FIV	Lru5	USA	-	A	2002
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906148	KF906148	KF906148/A/-/USA/2003/Lru6	24741092	ncbi-refseqs-feline	FIV	Lru6	USA	-	A	2003
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906149	KF906149	KF906149/A/-/USA/2005/Lru7	24741092	ncbi-refseqs-feline	FIV	Lru7	USA	-	A	2005
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906150	KF906150	KF906150/A/-/USA/2006/Lru8	24741092	ncbi-refseqs-feline	FIV	Lru8	USA	-	A	2006
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906151	KF906151	KF906151/A/-/USA/2007/Lru9	24741092	ncbi-refseqs-feline	FIV	Lru9	USA	-	A	2007
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906152	KF906152	KF906152/A/-/USA/2006/Lru10	24741092	ncbi-refseqs-feline	FIV	Lru10	USA	-	A	2006
alignment/AL_TREE_Feline/member/ncbi-refseqs-feline/KF906153	KF906153	KF906153/A/-/USA/2009/Lru11	24741092	ncbi-refseqs-feline	FIV	Lru11	USA	-	A	2009
